real,imag
-0.0520396639,-0.0209428134
0.1424994284,-0.0148575981
0.4829362134,0.0193221010
0.4642486467,0.0230239661
0.0463243133,-0.0163222920
-0.1523504388,-0.0259409251
0.0214270862,0.0056496580
0.0926216372,0.0134089294
-0.0347360748,-0.0057516005
-0.0533790026,-0.0061279589
0.0298274850,0.0047582418
0.0277966587,0.0018351663
-0.0168596561,-0.0027676027
-0.0149750409,-0.0000430104
0.0042270181,0.0008994539
0.0112742303,-0.0000208624
0.0029873765,0.0000356172
-0.0110119058,-0.0005572961
-0.0043442278,0.0000143142
0.0095545672,0.0008812852
0.0027911221,-0.0004984929
-0.0055341053,-0.0006495599
-0.0017439293,0.0007766204
0.0006074529,0.0001436132
0.0026121999,-0.0005681934
0.0026967202,0.0001686555
-0.0043633944,0.0000662718
-0.0032224750,-0.0000515964
0.0050021723,0.0003267227
0.0018897208,-0.0003386618
-0.0035032422,-0.0003582934
-0.0006434086,0.0006434575
0.0006143901,0.0001109411
0.0007660260,-0.0006121484
0.0018960067,0.0001228216
-0.0019968626,0.0002919764
-0.0027223964,-0.0001078160
0.0030199242,0.0000555146
0.0019345288,-0.0001410883
-0.0027301478,-0.0001886651
-0.0006937659,0.0004038449
0.0011348925,0.0000798555
0.0001622290,-0.0004549954
0.0007636200,0.0000978904
-0.0006117870,0.0002564724
-0.0018665053,-0.0001351799
0.0013893294,0.0000274975
0.0018050918,-0.0000355266
-0.0016371116,-0.0001729790
-0.0010726598,0.0003039709
0.0010309871,0.0000812584
0.0004626434,-0.0004779198
0.0000387332,0.0001637528
-0.0004084526,0.0004348919
-0.0009082386,-0.0003825798
0.0007374694,-0.0001973703
0.0011802879,0.0004594135
-0.0009785539,-0.0000823444
-0.0009383662,-0.0003987500
0.0008262872,0.0002460044
0.0005137898,0.0002940583
-0.0003845908,-0.0002131390
-0.0001464279,-0.0002091224
